0;1;id;acesso
0.9624401;0.037559953;2;0
0.94091475;0.059085276;21;0
0.8999285;0.100071475;30;0
0.79474723;0.20525275;33;0
0.9250684;0.07493162;44;0
0.7836114;0.21638858;52;0
0.41396224;0.58603776;53;0
0.8012207;0.1987793;58;0
0.8492074;0.15079261;61;0
0.98444855;0.015551435;70;0
0.8535173;0.14648268;72;0
0.77683985;0.22316018;99;0
0.65348184;0.34651813;107;0
0.8057766;0.19422337;125;0
0.66304994;0.33695003;133;0
0.891624;0.108376026;137;0
0.42792732;0.5720727;141;0
0.6447438;0.3552562;147;0
0.38280368;0.6171963;154;0
0.7114507;0.2885493;176;0
0.8658033;0.1341967;181;0
0.5582271;0.44177288;191;0
0.6820475;0.31795248;209;0
0.90825665;0.09174337;211;0
0.7920255;0.2079745;230;0
0.91123813;0.08876188;231;0
0.96930337;0.030696651;242;0
0.95635176;0.043648235;247;0
0.6310985;0.36890152;266;0
0.7615355;0.23846447;271;0
0.9465908;0.053409223;274;0
0.5847532;0.41524678;285;0
0.6962106;0.30378935;295;0
0.5377846;0.46221545;300;0
0.5748357;0.42516428;304;0
0.7293365;0.27066347;317;0
0.2336458;0.7663542;336;1
0.77597797;0.22402206;339;0
0.9027246;0.09727538;361;0
0.79484504;0.20515494;362;0
0.94694036;0.053059652;369;0
0.7179432;0.28205684;372;0
0.61522293;0.38477704;377;0
0.88856286;0.111437164;383;0
0.8725083;0.12749171;384;0
0.85803497;0.14196505;402;0
0.582446;0.41755405;409;0
0.7734833;0.22651671;418;0
0.82057965;0.17942035;419;0
0.6043198;0.39568016;426;0
0.53247476;0.46752524;430;0
0.37806827;0.62193173;432;0
0.7350762;0.26492384;452;0
0.73631465;0.26368538;453;0
0.96193373;0.03806627;463;0
0.69795495;0.30204505;466;0
0.929119;0.07088101;483;0
0.57212126;0.4278787;485;0
0.9923474;0.007652581;494;0
0.7308341;0.26916584;499;0
0.8052978;0.19470222;500;0
0.63874567;0.3612543;506;0
0.67727184;0.32272813;511;0
0.92401886;0.07598117;524;0
0.36423957;0.6357604;526;0
0.75090605;0.24909396;534;0
0.64138263;0.35861737;537;0
0.3069027;0.6930973;546;0
0.8774536;0.12254636;557;0
0.6975098;0.30249017;597;0
0.71529996;0.28470004;600;0
0.5158434;0.4841566;604;0
0.32288843;0.67711157;606;1
0.7772685;0.22273144;656;0
0.87039775;0.12960224;658;0
0.86433864;0.1356614;673;0
0.8729632;0.12703682;687;0
0.8778088;0.122191206;696;0
0.77781;0.22219001;698;0
0.70551753;0.2944825;711;0
0.9996661;0.00033391963;717;0
0.64752567;0.35247436;724;0
0.6593746;0.34062544;728;0
0.9480225;0.05197752;729;0
0.6969953;0.30300468;736;0
0.74340343;0.2565966;751;0
0.5373752;0.46262476;770;0
0.8432463;0.15675373;771;0
0.6881212;0.31187877;796;0
0.67025936;0.32974064;819;0
0.93363553;0.06636446;821;0
0.5463756;0.45362443;832;0
0.65515566;0.3448443;841;0
0.47910768;0.5208923;850;0
0.6014374;0.3985626;876;0
0.9433146;0.056685362;888;0
0.87586135;0.12413865;922;0
0.8574613;0.14253873;929;0
0.9472844;0.052715614;952;0
0.9159754;0.08402459;968;0
0.8256121;0.17438789;969;0
0.84879184;0.15120813;976;0
0.70430934;0.29569063;977;0
0.6002679;0.39973208;985;0
0.7055683;0.29443166;986;0
0.15041482;0.8495852;987;0
0.38720715;0.61279285;1013;0
0.69002974;0.30997023;1015;0
0.70690185;0.29309815;1023;0
0.11970353;0.88029647;1025;0
0.8785822;0.12141781;1045;0
0.82211304;0.17788698;1053;0
0.80981743;0.19018255;1055;0
0.5083988;0.4916012;1058;1
0.8563608;0.14363919;1064;0
0.8419164;0.15808363;1065;0
0.494233;0.505767;1068;0
0.94403285;0.055967126;1091;0
0.86914617;0.13085383;1093;0
0.8108903;0.18910968;1102;0
0.924085;0.07591501;1124;0
0.9587125;0.04128749;1125;0
0.85509706;0.14490293;1130;0
0.5238173;0.47618267;1142;0
